pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT	0.0163229798527261	0.232761893249108	0.352487857583619	0.591674654921953	1.664875058596	19	TUBA4A;CENPF;TUBB4B;TUBB1;TUBB3;TUBA1B;CENPE;TUBA1C;BUB1B	non-significant
KEGG_MEDICUS_REFERENCE_CHOLESTEROL_BIOSYNTHESIS	0.035671349596179	0.292384815278222	0.321775918075361	0.646399296910516	1.64751533332287	13	DHCR7;DHCR24;MSMO1;SQLE;EBP;LSS;TM7SF2;LBR;NSDHL	non-significant
KEGG_MEDICUS_REFERENCE_GLYCOLYSIS	0.0274879481973397	0.257803635365959	0.352487857583619	0.560650733128561	1.64422360389281	23	PFKP;GPI;PGK1;LDHA;GAPDH;ENO1;LDHAL6B;PFKL;LDHC	non-significant
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP	0.0227917079556704	0.248292285763472	0.352487857583619	0.569340938998367	1.6377139091472	20	DUSP6;DUSP4;DUSP10;DUSP5;PTPN7;DUSP2;MAPK1	non-significant
KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY	0.0234793449722209	0.248292285763472	0.352487857583619	0.619041952454728	1.63663969146334	15	CDC45;VCP;MCM4;GINS1;TRAIP;MCM5	non-significant
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	0.0131135357431158	0.208907541375792	0.380730400722792	0.487492669136091	1.62741428704045	44	IFNG;STAT1;EPO;IL12A;IL13;IL2RB;IFNAR2;IL2RA;IL23R;IL6;IL13RA1;IL15RA;IL5RA;IL2RG;IL2;IL6R;IFNGR1;IL7R;IL7;IL3;IL4R;JAK2;IL4;CSF2RB;IFNGR2;STAT4;IL5;IL12RB2;JAK3;IL15;STAT3	non-significant
KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE	0.0184394114457752	0.234135629573539	0.352487857583619	0.833528978954932	1.62257028616109	5	C1QB;C1QA;C1QC	non-significant
KEGG_MEDICUS_REFERENCE_TLR7_8_9_IRF5_SIGNALING_PATHWAY	0.0235909741876198	0.248292285763472	0.352487857583619	0.588352583496486	1.62229959580544	17	IRF5;TLR8;IFNA10;TLR9;IFNA21;IFNA5;IFNA2;MYD88;IFNA8;IFNA6;TLR7	non-significant
KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING	0.0279551453374569	0.258272163640087	0.352487857583619	0.560161891079599	1.6113103020647	20	DNMT3B;KIF4A;NCAPD2;NCAPG;SMC4;NCAPH;TOP2A;NCAPG2	non-significant
KEGG_MEDICUS_REFERENCE_LEWIS_X_ANTIGEN_BIOSYNTHESIS	0.0234088237463054	0.248292285763472	0.352487857583619	0.822084140918937	1.60029145171622	5	FUT3;FUT6;FUT4;FUT9;FUT5	non-significant
KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	0.0290469154473015	0.260580299447531	0.352487857583619	0.516622823611835	1.58568591608481	29	NCF2;NCF1;CYBA;ATF4;NCF4;CYBB;CREB3L4;CREB3L2;CREB3L1;EGR1;MAPK1;CREB3L3	non-significant
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	0.0178212230046115	0.234135629573539	0.352487857583619	0.484678280762255	1.58037093162343	39	PSMD3;PSMB5;VCP;PSMD11;PSMD8;PSMA3;PSMD7;PSMD14;PSMC5;PSMA6;PSMA2;PSMB6;PSMD2;PSMB7;RPS27A;PSMC1;PSMB3;PSMD12;PSMD1;PSMA1;UBC;PSMA8;PSMA5;PSMB4;PSMD4;PSMB1;UBA52	non-significant
KEGG_MEDICUS_REFERENCE_TYPE_II_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY	0.0423861852433281	0.319964008117318	0.276500599254472	0.580199611935691	1.57488299038923	16	IFNG;STAT1;IL27;IFNA10;IFNGR1;IFNA21;IFNA5;IFNA2;JAK2;IFNA8;IFNA6;IFNGR2;IFNA16;STAT3	non-significant
KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN	0.0306580004802677	0.266169047301831	0.352487857583619	0.672526125250588	1.57009333215546	10	FGG;FGB;FGA;MBL2	non-significant
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	0.0203493118280952	0.246441346023013	0.352487857583619	0.480679187466152	1.55606576622658	38	PSMD3;PSMB5;PSMD11;PSMD8;PSMA3;PSMD7;PSMD14;PSMC5;PSMA6;PSMA2;PSMB6;PSMD2;PSMB7;RPS27A;PSMC1;PSMB3;PSMD12;PSMD1;PSMA1;UBC;PSMA8;PSMA5;PSMB4;PSMD4;PSMB1;UBA52	non-significant
KEGG_MEDICUS_REFERENCE_EGF_ERBB2_RAS_ERK_SIGNALING_PATHWAY	0.0423861852433281	0.319964008117318	0.276500599254472	0.573224134179897	1.55594888384823	16	ERBB2;KRAS;EGF;MAPK1	non-significant
KEGG_MEDICUS_REFERENCE_PDL_PD1_SHP_PI3K_SIGNALING_PATHWAY	0.052531270753822	0.345924006346977	0.321775918075361	0.679962573573018	1.55022820950097	9	PIK3R3;PDCD1;CD274;PDCD1LG2;PIK3R2;PTPN11	non-significant
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	0.0225886262706951	0.248292285763472	0.352487857583619	0.473782010507772	1.5448419024575	39	PSMD3;PSMB5;PSMD11;PSMD8;PSMA3;PSMD7;PSMD14;PSMC5;PSMA6;PSMA2;PSMB6;PSMD2;PSMB7;RPS27A;PSMC1;PSMB3;PSMD12;PSMD1;PSMA1;UBC;PSMA8;PSMA5;PSMB4;PSMD4;PSMB1;UBA52	non-significant
