pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.122641509433962	0.170335429769392	0.195789002148949	0.394255055994662	1.28677398095957	42	WNT6;DKK1;SKP2;TCF7;CUL1;WNT5B;NOTCH1;CCND2;ADAM17;PPARD;NCSTN;MYC	non-significant
HALLMARK_APICAL_JUNCTION	0.0785907859078591	0.135062128579146	0.266350657088526	0.282560048567253	1.20075857153921	190	CDH3;ACTG2;CX3CL1;MPZL2;NRTN;ICAM2;CLDN4;MMP9;LAMB3;ICAM1;ICAM4;CD274;MDK;PFN1;FSCN1;ITGA9;DSC3;MSN;TRAF1;VCAM1;CALB2;MPZL1;RAC2;NFASC;ADAM15;SYK;RSU1;DHX16;LAMC2;EPB41L2;ACTN4;SPEG;ACTB;COL9A1;PTPRC;ITGB4;SIRPA;TIAL1;B4GALT1;MVD	non-significant
HALLMARK_APICAL_SURFACE	0.222737819025522	0.265164070268479	0.140406238523342	0.355067276970385	1.16832189032411	43	CX3CL1;IL2RB;LYN;MAL;IL2RG;ATP6V0A4;GHRL;RHCG;EFNA5;APP;AKAP7	non-significant
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.186567164179104	0.239188672024493	0.160801401070022	0.314211190430755	1.16039486931719	72	CBS;GLDC;FADS2;NFIL3;S100A11;STARD4;FABP5;FBXO6;CXCL16;PNRC1;DHCR7;PLAUR;LGMN;ACAT2;PLSCR1;ATF5;MVD;ANXA5;HMGCS1;SREBF2;PDK3;FDPS	non-significant
HALLMARK_APOPTOSIS	0.143236074270557	0.188468518777049	0.191892240384838	0.278766392272336	1.15359927418325	159	CD38;TAP1;IRF1;CD2;SOD2;ISG20;FASLG;BIRC3;BTG3;CD14;CFLAR;CASP1;PRF1;BID;TNF;APP;IL1B;CDC25B;CD69;GNA15;NEFH;FAS;MCL1;CASP4;SATB1;CASP6;IL18;TOP2A;DFFA;TIMP1;LMNA;CCND2;CD44;BAX;PAK1;PLCB2;IL6;IFNGR1;CCNA1;DAP;GSN;TSPO;DAP3	non-significant
HALLMARK_HYPOXIA	0.209366391184573	0.25532486729826	0.159646701919906	0.2586198720094	1.09906938983946	191	CP;CSRP2;ADORA2B;ISG20;CHST3;NFIL3;PDK1;DDIT4;PLAC8;CHST2;PFKP;PIM1;GLRX;ADM;TES;VEGFA;NDRG1;CXCR4;RRAGD;ENO1;SCARB1;PKP1;GCNT2;PNRC1;CASP6;XPNPEP1;LALBA;TMEM45A;GAPDH;PGM1;EFNA1;S100A4;TGM2;KDELR3;TPI1;VLDLR;NAGK;PLAUR;TNFAIP3;UGP2	non-significant
HALLMARK_GLYCOLYSIS	0.2	0.25	0.165656695205483	0.257127583110967	1.09862065135653	197	DSC2;SOX9;ADORA2B;ISG20;CHST6;CENPA;DDIT4;CHST2;PFKP;GLRX;VEGFA;GNE;CXCR4;CLDN3;RRAGD;PYGB;ENO1;NASP;KIF20A;PSMC4;PLOD1;CDK1;STMN1;ELF3;CASP6;PRPS1;SLC25A13;GPR87;KDELR3;MDH2;TPI1;SPAG4;VLDLR;PKP2;COPB2;CD44;UGP2;BPNT1;CHST12;AURKA;CHST4;SAP30;DEPDC1;AKR1A1;GALK2;ME2;B4GALT1	non-significant
HALLMARK_SPERMATOGENESIS	0.411458333333333	0.467566287878788	0.105520936843198	0.253350611020643	1.021369668749	132	IL12RB2;ART3;KIF2C;RPL39L;TTK;BUB1;RFC4;EZH2;TLE4;GFI1;LPIN1;CDK1;NEFH;OAZ3;NEK2;PCSK1N;HSPA4L;POMC;CCNB2;PSMG1;AURKA;CCNA1;ADAD1;SLC2A5;VDAC3;BRAF;CFTR;NAA11;MLLT10;MTOR;NF2;NCAPH;TOPBP1;LDHC;TSN;CLPB;DBF4	non-significant
HALLMARK_DNA_REPAIR	0.562334217506631	0.611232845115903	0.0880945010398517	0.23357271190786	0.952137895575774	145	TYMS;PDE4B;FEN1;RFC2;HCLS1;PNP;RFC4;SF3A3;SUPT5H;VPS37B;SEC61A1;SSRP1;POLR1C;CLP1;ADA;POLR2D;RPA2;TAF1C;RFC5;PCNA;DGCR8;GTF3C5;POLD1;ERCC3;NELFB;POLR2F;RAD51;ITPA;UPF3B;GTF2B;POLA2;NELFE;RNMT;POLR2C;LIG1;HPRT1;NT5C3A;TAF13;RFC3;SAC3D1;PDE6G;NUDT21;RAD52;POLR2J;POLR2I	non-significant
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.752997601918465	0.768364899916801	0.0675188953767744	0.254695857450618	0.849279911589711	47	SOD2;MGST1;PFKP;GLRX;LSP1;PRNP;STK25;PRDX4;NDUFS2;FES;MSRA;MPO	non-significant
